timestamp,system_id,region,environment,service,cpu_pct,memory_pct,disk_pct,network_latency_ms,error_rate_pct,availability_pct,incident_count
2026-01-09,SYS-00001,AMER,staging,Cache,26.79136733561367,54.37441096577016,54.40596069616014,63.782867512265355,0.01820692621583947,99.93014171491212,1
2026-03-27,SYS-00002,EMEA,staging,Worker,32.558518639428385,50.88642693973633,45.62006800828169,64.61762950470994,0.0,99.98180068550296,0
2026-02-17,SYS-00003,AMER,production,Database,55.02659983162876,66.70211391280382,51.95759378908416,70.47992464372949,0.0,99.97395050230512,0
2026-03-31,SYS-00004,AMER,production,Cache,51.2365626576277,71.02923987935354,41.87772721786566,118.96208818737679,0.0,99.95247998265799,0
2026-02-07,SYS-00005,APAC,production,Cache,57.53964992617368,79.297294590178,59.91227151400919,102.37151330782977,0.11525364573538524,99.95265278238134,0
2026-03-16,SYS-00006,AMER,production,API,62.86005426849968,74.08450409944979,62.14001314422924,125.40880131634879,0.13845959113084286,99.89266556677886,0
2026-01-30,SYS-00007,AMER,production,API,52.17119449386544,48.79958686154211,42.71239266771931,76.0381206436631,0.08721625045366128,99.91580980187402,0
2026-02-09,SYS-00008,AMER,development,Database,37.94748561676866,67.01635960595256,54.124795761068775,95.73450876625718,0.09697363492878766,99.9355291611023,0
2026-02-01,SYS-00009,APAC,production,Worker,70.72591619013292,82.95563631214617,61.88269666026205,117.53287598944158,0.4511444794387175,99.86522945882066,0
2026-02-19,SYS-00010,EMEA,production,Web,94.86459843338586,82.34911394030884,61.3870595014144,87.008870664838,0.1712872691588982,99.95422338388164,0
2026-01-21,SYS-00011,EMEA,staging,Web,66.40204189533185,81.36411178055592,59.21665099381658,123.69083463817896,0.9523586137808916,99.9048082069758,1
2026-02-15,SYS-00012,AMER,production,Web,24.73938249955494,41.66240013932952,53.58043773009827,46.14350610464072,0.5858866283618035,99.93685934618367,1
2026-03-17,SYS-00013,EMEA,production,Web,77.08260249400386,80.68800754867652,63.67797670825108,117.46877540299677,0.6235732347101822,99.9673764527551,0
2026-01-15,SYS-00014,AMER,production,Worker,82.73668927967567,84.1384096765591,76.31901648914615,149.0105393045597,1.012582293204726,99.85112356151896,1
2026-03-13,SYS-00015,EMEA,development,API,11.948120416297911,47.36406222940738,38.48876722047331,95.83901554203923,0.0,99.95406830107763,1
2026-03-18,SYS-00016,APAC,production,Web,75.04141357318402,84.03965374086769,60.9811921890168,95.31100516636052,0.0661522634693893,99.9142183933543,0
2026-01-04,SYS-00017,EMEA,production,Database,64.55934494874117,68.35423728144704,52.39099628594123,98.6108757745202,0.0,99.98820666500758,0
